BusinessDay;PromotionID;PromotionName;PromotionMinBusinessDay;PromotionMaxBusinessDay;GuestCountTotal;GuestCountFranchise;GuestCountMcOpCo;GrossAmount;NetSalesAmountAfterDiscount;UnitsSold;AvgFPCostAvg;NetSalesAmount;FPCost;StoreCountFranchise;StoreCountMcOpCo;StoreCountTotal
2018-09-18;1014;Cheeseburger oder Chickenburger Je nur 1,00€;2018-09-16 00:00:00;2018-09-24 00:00:00;5536;4944;592;38667,700;4943,220;5536;,346;6873,607;1919,408;1367;118;1485
2018-09-19;1014;Cheeseburger oder Chickenburger Je nur 1,00€;2018-09-16 00:00:00;2018-09-24 00:00:00;5366;4763;603;37932,110;4799,470;5366;,346;6670,912;1861,462;1367;118;1485
2018-09-19;1011;McCafé Sammelpass Gratis: Heißgetränk in der Größe regular;2018-09-05 00:00:00;2018-09-25 00:00:00;1;1;0;,000;,000;0;,000;,000;,000;1367;118;1485
2018-09-20;1011;McCafé Sammelpass Gratis: Heißgetränk in der Größe regular;2018-09-05 00:00:00;2018-09-25 00:00:00;4;3;1;5,980;,000;0;,000;,000;,000;1368;118;1486
2018-09-20;1014;Cheeseburger oder Chickenburger Je nur 1,00€;2018-09-16 00:00:00;2018-09-24 00:00:00;5495;4923;572;39733,060;4906,025;5495;,346;6823,752;1905,010;1368;118;1486
2018-09-21;1014;Cheeseburger oder Chickenburger Je nur 1,00€;2018-09-16 00:00:00;2018-09-24 00:00:00;6299;5580;719;48551,220;5616,060;6299;,346;7808,018;2184,790;1368;118;1486
2018-09-21;1011;McCafé Sammelpass Gratis: Heißgetränk in der Größe regular;2018-09-05 00:00:00;2018-09-25 00:00:00;3;3;0;29,040;,000;0;,000;,000;,000;1368;118;1486
2018-09-22;1017;Doppel-Cheeseburger oder McDouble® Chili Cheese Je nur 1,99€;2018-09-22 00:00:00;2018-09-25 00:00:00;4;0;4;70,110;6,876;4;,630;8,258;2,523;1368;118;1486
2018-09-22;1011;McCafé Sammelpass Gratis: Heißgetränk in der Größe regular;2018-09-05 00:00:00;2018-09-25 00:00:00;7;5;2;16,580;,000;0;,000;,000;,000;1368;118;1486
2018-09-22;1014;Cheeseburger oder Chickenburger Je nur 1,00€;2018-09-16 00:00:00;2018-09-24 00:00:00;5468;4935;533;47294,660;4858,930;5468;,346;6767,515;1896,730;1368;118;1486
2018-09-23;1011;McCafé Sammelpass Gratis: Heißgetränk in der Größe regular;2018-09-05 00:00:00;2018-09-25 00:00:00;2;2;0;3,790;,000;0;,000;,000;,000;1368;118;1486
2018-09-23;1014;Cheeseburger oder Chickenburger Je nur 1,00€;2018-09-16 00:00:00;2018-09-24 00:00:00;4450;3934;516;44265,830;3978,920;4450;,347;5544,214;1544,546;1368;118;1486
2018-09-23;1017;Doppel-Cheeseburger oder McDouble® Chili Cheese Je nur 1,99€;2018-09-22 00:00:00;2018-09-25 00:00:00;56;43;13;364,620;100,964;56;,641;120,604;35,924;1368;118;1486
2018-09-24;1011;McCafé Sammelpass Gratis: Heißgetränk in der Größe regular;2018-09-05 00:00:00;2018-09-25 00:00:00;7;5;2;8,180;,000;0;,000;,000;,000;1368;118;1486
2018-09-24;1017;Doppel-Cheeseburger oder McDouble® Chili Cheese Je nur 1,99€;2018-09-22 00:00:00;2018-09-25 00:00:00;4012;3560;452;30409,180;7153,492;4012;,637;8593,717;2557,702;1368;118;1486
2018-09-24;1014;Cheeseburger oder Chickenburger Je nur 1,00€;2018-09-16 00:00:00;2018-09-24 00:00:00;1;1;0;1,000;,840;1;,338;1,252;,338;1368;118;1486
2018-09-25;1017;Doppel-Cheeseburger oder McDouble® Chili Cheese Je nur 1,99€;2018-09-22 00:00:00;2018-09-25 00:00:00;4066;3617;449;32292,310;7251,284;4066;,637;8720,799;2592,816;1368;118;1486
2018-09-25;1011;McCafé Sammelpass Gratis: Heißgetränk in der Größe regular;2018-09-05 00:00:00;2018-09-25 00:00:00;5;3;2;3,690;,000;0;,000;,000;,000;1368;118;1486
