BusinessDay;PromotionID;PromotionName;PromotionMinBusinessDay;PromotionMaxBusinessDay;GuestCountTotal;GuestCountFranchise;GuestCountMcOpCo;GrossAmount;NetSalesAmountAfterDiscount;UnitsSold;AvgFPCostAvg;NetSalesAmount;FPCost;StoreCountFranchise;StoreCountMcOpCo;StoreCountTotal
2018-09-11;1011;McCafé Sammelpass Gratis: Heißgetränk in der Größe regular;2018-09-05 00:00:00;2018-10-03 00:00:00;2;2;0;22,920;,000;0;,000;,000;,000;1366;118;1484
2018-09-11;1013;1 My McFlurry® nur 1,50€ mit 2 Toppings nach Wahl;2018-09-07 00:00:00;2018-09-17 00:00:00;5286;4721;565;25005,250;7051,427;5286;,457;13727,982;2419,596;1366;118;1484
2018-09-12;1013;1 My McFlurry® nur 1,50€ mit 2 Toppings nach Wahl;2018-09-07 00:00:00;2018-09-17 00:00:00;4906;4336;570;23558,830;6541,320;4906;,457;12734,158;2246,434;1366;118;1484
2018-09-12;1011;McCafé Sammelpass Gratis: Heißgetränk in der Größe regular;2018-09-05 00:00:00;2018-10-03 00:00:00;2;2;0;1,000;,000;0;,000;,000;,000;1366;118;1484
2018-09-13;1013;1 My McFlurry® nur 1,50€ mit 2 Toppings nach Wahl;2018-09-07 00:00:00;2018-09-17 00:00:00;4214;3808;406;21898,000;5627,765;4214;,460;10952,019;1938,857;1366;118;1484
2018-09-13;1011;McCafé Sammelpass Gratis: Heißgetränk in der Größe regular;2018-09-05 00:00:00;2018-10-03 00:00:00;3;2;1;5,370;,000;0;,000;,000;,000;1366;118;1484
2018-09-14;1013;1 My McFlurry® nur 1,50€ mit 2 Toppings nach Wahl;2018-09-07 00:00:00;2018-09-17 00:00:00;5234;4733;501;27514,580;6974,945;5234;,458;13598,516;2399,696;1367;118;1485
2018-09-15;1011;McCafé Sammelpass Gratis: Heißgetränk in der Größe regular;2018-09-05 00:00:00;2018-10-03 00:00:00;1;1;0;1,000;,000;0;,000;,000;,000;1367;118;1485
2018-09-15;1013;1 My McFlurry® nur 1,50€ mit 2 Toppings nach Wahl;2018-09-07 00:00:00;2018-09-17 00:00:00;4731;4270;461;25955,830;6294,129;4731;,458;12270,429;2166,858;1367;118;1485
2018-09-16;1011;McCafé Sammelpass Gratis: Heißgetränk in der Größe regular;2018-09-05 00:00:00;2018-10-03 00:00:00;1;1;0;,000;,000;0;,000;,000;,000;1367;118;1485
2018-09-16;1014;Cheeseburger oder Chickenburger Je nur 1,00€;2018-09-16 00:00:00;2018-09-24 00:00:00;62;51;11;424,080;55,500;62;,349;77,323;21,640;1367;118;1485
2018-09-16;1013;1 My McFlurry® nur 1,50€ mit 2 Toppings nach Wahl;2018-09-07 00:00:00;2018-09-17 00:00:00;5915;5352;563;33993,580;7909,942;5915;,461;15444,661;2730,704;1367;118;1485
2018-09-17;1011;McCafé Sammelpass Gratis: Heißgetränk in der Größe regular;2018-09-05 00:00:00;2018-10-03 00:00:00;3;2;1;5,570;,000;0;,000;,000;,000;1367;118;1485
2018-09-17;1013;1 My McFlurry® nur 1,50€ mit 2 Toppings nach Wahl;2018-09-07 00:00:00;2018-09-17 00:00:00;2;1;1;3,000;2,663;2;,415;5,307;,830;1367;118;1485
2018-09-17;1014;Cheeseburger oder Chickenburger Je nur 1,00€;2018-09-16 00:00:00;2018-09-24 00:00:00;5918;5265;653;40016,790;5278,255;5918;,346;7341,712;2051,944;1367;118;1485
2018-09-18;1014;Cheeseburger oder Chickenburger Je nur 1,00€;2018-09-16 00:00:00;2018-09-24 00:00:00;5536;4944;592;38667,700;4943,220;5536;,346;6873,607;1919,408;1367;118;1485
2018-09-18;1011;McCafé Sammelpass Gratis: Heißgetränk in der Größe regular;2018-09-05 00:00:00;2018-10-03 00:00:00;2;1;1;15,370;,000;0;,000;,000;,000;1367;118;1485
2018-09-19;1014;Cheeseburger oder Chickenburger Je nur 1,00€;2018-09-16 00:00:00;2018-09-24 00:00:00;5366;4763;603;37932,110;4799,470;5366;,346;6670,912;1861,462;1367;118;1485
2018-09-19;1011;McCafé Sammelpass Gratis: Heißgetränk in der Größe regular;2018-09-05 00:00:00;2018-10-03 00:00:00;1;1;0;,000;,000;0;,000;,000;,000;1367;118;1485
2018-09-20;1011;McCafé Sammelpass Gratis: Heißgetränk in der Größe regular;2018-09-05 00:00:00;2018-10-03 00:00:00;4;3;1;5,980;,000;0;,000;,000;,000;1368;118;1486
2018-09-20;1014;Cheeseburger oder Chickenburger Je nur 1,00€;2018-09-16 00:00:00;2018-09-24 00:00:00;5495;4923;572;39733,060;4906,025;5495;,346;6823,752;1905,010;1368;118;1486
2018-09-21;1014;Cheeseburger oder Chickenburger Je nur 1,00€;2018-09-16 00:00:00;2018-09-24 00:00:00;6299;5580;719;48551,220;5616,060;6299;,346;7808,018;2184,790;1368;118;1486
2018-09-21;1011;McCafé Sammelpass Gratis: Heißgetränk in der Größe regular;2018-09-05 00:00:00;2018-10-03 00:00:00;3;3;0;29,040;,000;0;,000;,000;,000;1368;118;1486
2018-09-22;1014;Cheeseburger oder Chickenburger Je nur 1,00€;2018-09-16 00:00:00;2018-09-24 00:00:00;5468;4935;533;47294,660;4858,930;5468;,346;6767,515;1896,730;1368;118;1486
2018-09-22;1011;McCafé Sammelpass Gratis: Heißgetränk in der Größe regular;2018-09-05 00:00:00;2018-10-03 00:00:00;7;5;2;16,580;,000;0;,000;,000;,000;1368;118;1486
2018-09-22;1017;Doppel-Cheeseburger oder McDouble® Chili Cheese Je nur 1,99€;2018-09-22 00:00:00;2018-09-27 00:00:00;4;0;4;70,110;6,876;4;,630;8,258;2,523;1368;118;1486
2018-09-23;1011;McCafé Sammelpass Gratis: Heißgetränk in der Größe regular;2018-09-05 00:00:00;2018-10-03 00:00:00;2;2;0;3,790;,000;0;,000;,000;,000;1368;118;1486
2018-09-23;1014;Cheeseburger oder Chickenburger Je nur 1,00€;2018-09-16 00:00:00;2018-09-24 00:00:00;4450;3934;516;44265,830;3978,920;4450;,347;5544,214;1544,546;1368;118;1486
2018-09-23;1017;Doppel-Cheeseburger oder McDouble® Chili Cheese Je nur 1,99€;2018-09-22 00:00:00;2018-09-27 00:00:00;56;43;13;364,620;100,964;56;,641;120,604;35,924;1368;118;1486
2018-09-24;1017;Doppel-Cheeseburger oder McDouble® Chili Cheese Je nur 1,99€;2018-09-22 00:00:00;2018-09-27 00:00:00;4012;3560;452;30409,180;7153,492;4012;,637;8593,717;2557,702;1368;118;1486
2018-09-24;1014;Cheeseburger oder Chickenburger Je nur 1,00€;2018-09-16 00:00:00;2018-09-24 00:00:00;1;1;0;1,000;,840;1;,338;1,252;,338;1368;118;1486
2018-09-24;1011;McCafé Sammelpass Gratis: Heißgetränk in der Größe regular;2018-09-05 00:00:00;2018-10-03 00:00:00;7;5;2;8,180;,000;0;,000;,000;,000;1368;118;1486
2018-09-25;1011;McCafé Sammelpass Gratis: Heißgetränk in der Größe regular;2018-09-05 00:00:00;2018-10-03 00:00:00;5;3;2;3,690;,000;0;,000;,000;,000;1368;118;1486
2018-09-25;1017;Doppel-Cheeseburger oder McDouble® Chili Cheese Je nur 1,99€;2018-09-22 00:00:00;2018-09-27 00:00:00;4146;3676;470;32835,640;7394,444;4146;,637;8892,268;2643,792;1368;118;1486
2018-09-26;1011;McCafé Sammelpass Gratis: Heißgetränk in der Größe regular;2018-09-05 00:00:00;2018-10-03 00:00:00;4;4;0;3,780;,000;0;,000;,000;,000;1368;118;1486
2018-09-26;1017;Doppel-Cheeseburger oder McDouble® Chili Cheese Je nur 1,99€;2018-09-22 00:00:00;2018-09-27 00:00:00;3746;3285;461;31553,030;6682,552;3746;,636;8029,565;2385,042;1368;118;1486
2018-09-27;1017;Doppel-Cheeseburger oder McDouble® Chili Cheese Je nur 1,99€;2018-09-22 00:00:00;2018-09-27 00:00:00;2;2;0;7,870;3,532;2;,620;4,326;1,240;1369;118;1487
2018-09-27;1011;McCafé Sammelpass Gratis: Heißgetränk in der Größe regular;2018-09-05 00:00:00;2018-10-03 00:00:00;14;12;2;32,640;,000;0;,000;,000;,000;1369;118;1487
2018-09-27;1019;1 Pizza Mac nur 1,99€ Exklusiv zum Probierpreis!;2018-09-27 00:00:00;2018-10-03 00:00:00;14507;12827;1680;126733,900;25708,944;14507;,740;34729,825;10735,180;1369;118;1487
2018-09-28;1011;McCafé Sammelpass Gratis: Heißgetränk in der Größe regular;2018-09-05 00:00:00;2018-10-03 00:00:00;6;5;1;7,870;,000;0;,000;,000;,000;1369;118;1487
2018-09-28;1019;1 Pizza Mac nur 1,99€ Exklusiv zum Probierpreis!;2018-09-27 00:00:00;2018-10-03 00:00:00;17103;15311;1792;163633,360;30249,987;17103;,740;40862,666;12656,220;1369;118;1487
2018-09-29;1019;1 Pizza Mac nur 1,99€ Exklusiv zum Probierpreis!;2018-09-27 00:00:00;2018-10-03 00:00:00;13234;11798;1436;138022,060;23334,584;13234;,740;31524,177;9793,160;1369;118;1487
2018-09-29;1011;McCafé Sammelpass Gratis: Heißgetränk in der Größe regular;2018-09-05 00:00:00;2018-10-03 00:00:00;11;9;2;26,130;,000;0;,000;,000;,000;1369;118;1487
2018-09-30;1019;1 Pizza Mac nur 1,99€ Exklusiv zum Probierpreis!;2018-09-27 00:00:00;2018-10-03 00:00:00;10483;9246;1237;116296,810;18583,138;10483;,740;25113,503;7757,420;1369;118;1487
2018-09-30;1011;McCafé Sammelpass Gratis: Heißgetränk in der Größe regular;2018-09-05 00:00:00;2018-10-03 00:00:00;9;8;1;33,330;,000;0;,000;,000;,000;1369;118;1487
2018-10-01;1011;McCafé Sammelpass Gratis: Heißgetränk in der Größe regular;2018-09-05 00:00:00;2018-10-03 00:00:00;12;11;1;28,960;,000;0;,000;,000;,000;1369;118;1487
2018-10-01;1019;1 Pizza Mac nur 1,99€ Exklusiv zum Probierpreis!;2018-09-27 00:00:00;2018-10-03 00:00:00;8830;7891;939;77034,920;15622,945;8830;,740;21095,489;6534,200;1369;118;1487
2018-10-02;1019;1 Pizza Mac nur 1,99€ Exklusiv zum Probierpreis!;2018-09-27 00:00:00;2018-10-03 00:00:00;10303;9141;1162;92521,910;18254,600;10303;,740;24656,257;7624,220;1369;118;1487
2018-10-02;1011;McCafé Sammelpass Gratis: Heißgetränk in der Größe regular;2018-09-05 00:00:00;2018-10-03 00:00:00;11;10;1;42,220;,000;0;,000;,000;,000;1369;118;1487
2018-10-03;1020;Cappuccino, Latte Macchiato oder Café je nur 1,00€ in der Größe regular;2018-10-03 00:00:00;2018-10-03 00:00:00;30;23;7;187,480;25,200;30;,278;67,567;8,365;1369;118;1487
2018-10-03;1011;McCafé Sammelpass Gratis: Heißgetränk in der Größe regular;2018-09-05 00:00:00;2018-10-03 00:00:00;9;9;0;49,730;,000;0;,000;,000;,000;1369;118;1487
2018-10-03;1019;1 Pizza Mac nur 1,99€ Exklusiv zum Probierpreis!;2018-09-27 00:00:00;2018-10-03 00:00:00;10568;9445;1123;119012,270;18708,396;10568;,740;25291,672;7820,320;1369;118;1487
